date,state,totalTestResultsIncrease,totalTestResults,positiveIncrease,positive,deathIncrease,death
2020-04-26,CA,20049,526084,1027,42164.0,59,1710.0
2020-04-26,FL,11514,344613,689,31528.0,19,1094.0
2020-04-26,NY,27782,805350,5902,288045.0,367,16966.0
2020-04-26,PA,5658,198593,1116,41165.0,13,1550.0
2020-04-26,TX,13205,276021,858,24631.0,25,648.0
2020-04-27,CA,27325,553409,1300,43464.0,45,1755.0
2020-04-27,FL,11850,356463,610,32138.0,7,1101.0
2020-04-27,NY,20745,826095,3951,291996.0,337,17303.0
2020-04-27,PA,4829,203422,885,42050.0,47,1597.0
2020-04-27,TX,14496,290517,666,25297.0,15,663.0
2020-04-28,CA,24199,577608,1567,45031.0,54,1809.0
2020-04-28,FL,10412,366875,708,32846.0,53,1154.0
2020-04-28,NY,18899,844994,3110,295106.0,335,17638.0
2020-04-28,PA,5666,209088,1214,43264.0,119,1716.0
2020-04-28,TX,9867,300384,874,26171.0,27,690.0
2020-04-29,CA,25531,603139,1469,46500.0,78,1887.0
2020-04-29,FL,6613,373488,347,33193.0,86,1240.0
2020-04-29,NY,27487,872481,4585,299691.0,377,18015.0
2020-04-29,PA,5795,214883,1102,44366.0,479,2195.0
2020-04-29,TX,14406,314790,883,27054.0,42,732.0
2020-04-30,CA,22198,625337,2417,48917.0,95,1982.0
2020-04-30,FL,8917,382405,497,33690.0,50,1290.0
2020-04-30,NY,28155,900636,4681,304372.0,306,18321.0
2020-04-30,PA,6482,221365,1397,45763.0,97,2292.0
2020-04-30,TX,15510,330300,1033,28087.0,50,782.0
2020-05-01,CA,29648,654985,1525,50442.0,91,2073.0
2020-05-01,FL,20294,402699,1038,34728.0,24,1314.0
2020-05-01,NY,26802,927438,3942,308314.0,289,18610.0
2020-05-01,PA,6083,227448,1208,46971.0,62,2354.0
2020-05-01,TX,21475,351775,1142,29229.0,34,816.0
2020-05-02,CA,31818,686803,1755,52197.0,98,2171.0
2020-05-02,FL,13313,416012,735,35463.0,74,1388.0
2020-05-02,NY,31633,959071,4663,312977.0,299,18909.0
2020-05-02,PA,7928,235376,1334,48305.0,64,2418.0
2020-05-02,TX,28873,380648,1293,30522.0,31,847.0
2020-05-03,CA,28948,715751,1419,53616.0,44,2215.0
2020-05-03,FL,12177,428189,615,36078.0,15,1403.0
2020-05-03,NY,26840,985911,3438,316415.0,280,19189.0
2020-05-03,PA,5265,240641,962,49267.0,26,2444.0
2020-05-03,TX,9912,390560,1026,31548.0,20,867.0
2020-05-04,CA,32123,747874,1321,54937.0,39,2254.0
2020-05-04,FL,16081,444270,819,36897.0,20,1423.0
2020-05-04,NY,21399,1007310,2538,318953.0,226,19415.0
2020-05-04,PA,4949,245590,825,50092.0,14,2458.0
2020-05-04,TX,16838,407398,784,32332.0,17,884.0
2020-05-05,CA,32028,779902,1275,56212.0,63,2317.0
2020-05-05,FL,21421,465691,542,37439.0,113,1536.0
2020-05-05,NY,21589,1028899,2239,321192.0,230,19645.0
2020-05-05,PA,5292,250882,865,50957.0,554,3012.0
2020-05-05,TX,19812,427210,1037,33369.0,22,906.0
2020-05-06,CA,29134,809036,2603,58815.0,95,2412.0
2020-05-06,FL,14360,480051,563,38002.0,69,1605.0
2020-05-06,NY,27022,1055921,2786,323978.0,232,19877.0
2020-05-06,PA,5458,256340,888,51845.0,94,3106.0
2020-05-06,TX,11728,438938,1053,34422.0,42,948.0
2020-05-07,CA,33838,842874,1799,60614.0,92,2504.0
2020-05-07,FL,12899,492950,826,38828.0,62,1667.0
2020-05-07,NY,33995,1089916,3671,327649.0,951,20828.0
2020-05-07,PA,6448,262788,1070,52915.0,310,3416.0
2020-05-07,TX,16224,455162,968,35390.0,25,973.0
2020-05-08,CA,32398,875272,1898,62512.0,81,2585.0
2020-05-08,FL,20391,513341,371,39199.0,71,1738.0
2020-05-08,NY,31627,1121543,2758,330407.0,217,21045.0
2020-05-08,PA,7771,270559,1323,54238.0,200,3616.0
2020-05-08,TX,21956,477118,1219,36609.0,31,1004.0
